HVH_101_000001_000001	皇朝維新萬萬年歲叁
HVH_101_000001_000002	翰墨林
HVH_101_000001_000003	歲己酉孟冬穀日新鐫
HVH_101_000001_000004	原本
HVH_101_000001_000005	柳文堂
HVH_101_000002_000001	先白
HVH_101_000002_000002	測之唐诗曰西園翰墨林意
HVH_101_000002_000003	們事扵筆硯百共扵焉
HVH_101_000002_000004	之用之無所不備猶材才
HVH_101_000002_000005	之産扵林也兹仰見
HVH_101_000002_000006	國家新議吏试有科詞
HVH_101_000002_000007	三
HVH_101_000002_000008	其切要也爰摘双左
HVH_101_000002_000009	書閣革松契劵凡切扵
HVH_101_000002_000010	日用长揖為一遍顔之日
HVH_101_000002_000011	椽墨林县書也高明之士
HVH_101_000002_000012	閱之过事便宜不甚費
HVH_101_000002_000013	力童初之生講之別臨
HVH_101_000003_000001	久捞辝引有弟式以至蓬
HVH_101_000003_000002	門華户世豪之家熟之刘
HVH_101_000003_000003	事已有以境固所待扵
HVH_101_000003_000004	他求也左云平枯一景
HVH_101_000003_000005	所求人其斯澤出
HVH_101_000003_000006	來以
HVH_101_000003_000007	目綠
HVH_101_000003_000008	目録以下
HVH_101_000003_000009	一喜賀貢箋
HVH_101_000003_000010	一契券諸事
HVH_101_000003_000011	一保舉諸事
HVH_101_000003_000012	一詞札諸事
HVH_101_000003_000013	一書寄諸事
HVH_101_000004_000001	喜賀貢箋以下
HVH_101_000004_000002	賀父母壽請
HVH_101_000004_000003	𬏝子恭承
HVH_101_000004_000004	神锡仰荷家慶髙堂𢇁雪壽曜輝煌誠慇愛
HVH_101_000004_000005	日切知年蠲以本月日夤陳壽席媚献壽杯敢請諸
HVH_101_000004_000006	貴列於伊日煩移玉趾榮揖芝眉靜掃候迎庶得敬酌是
HVH_101_000004_000007	荷是切當
HVH_101_000004_000008	皇干年月日山社班子阮山謹
HVH_101_000004_000009	上山社
HVH_101_000004_000010	刻貴几前錫鉴
HVH_101_000004_000011	賀壽請朋友
HVH_101_000004_000012	詞翰
HVH_101_000004_000013	五
HVH_101_000004_000014	忝怡養無能培元乏𧗱仰憑
HVH_101_000004_000015	先蔭重藉
HVH_101_000004_000016	神麻保得康
HVH_101_000004_000017	強福薦箕疇之九瀀游歲月桃偷王母之三兹初屈干旬
HVH_101_000004_000018	蠲以本月厶日用行誌慶拜謝洪恩耑祈列貴於伊
HVH_101_000004_000019	日煩移玉趾惠就一酌是幸當如前云云
HVH_101_000004_000020	賀試差正總請
HVH_101_000004_000021	敬啓者才愧粗疎幸蒙信愛一通侯領苾依佇望於洪恩
HVH_101_000004_000022	十里經徵幹濟深懷於寸惟心喜慰橅巳氷兢訂以本
HVH_101_000004_000023	月山日薄設小筵庶酬厚眷謹請諸
HVH_101_000004_000024	貴列於伊日煩移
HVH_101_000004_000025	玉趾惠就寒門淡酌是幸當
HVH_101_000005_000001	皇另千年厶月厶日試差正總阮筆上山社
HVH_101_000005_000002	貴列帳前焒鉴
HVH_101_000005_000003	賀正總賞銜請
HVH_101_000005_000004	敬啓者衡十里徵督幾經不爭催科課績而兵粮齊
HVH_101_000005_000005	足有功者奬賞兼收而葑菲無遺雨露初霑風聲早播想
HVH_101_000005_000006	賴神明之黙相也兹蠲以本月日仰謝神麻俯開
HVH_101_000005_000007	賀席敢請貴列於伊日惠來淡酌叙樂是荷當
HVH_101_000005_000008	皇號千年厶月厶日賞授九品百户正總阮文厶筆上厶
HVH_101_000005_000009	社貴列几前炳炤
HVH_101_000005_000010	詞翰
HVH_101_000005_000011	賀副總賞銜請
HVH_101_000005_000012	敬啓者沗責係分猷才唯叶賛巡防副厥聀戢盗安民糸
HVH_101_000005_000013	粒總皆由惟天賦分兹者恭遇國家新議曠典特隆而
HVH_101_000005_000014	年例透足炳然已有成冊欽蒙奬賞拜領之下喜惧交
HVH_101_000005_000015	并蠲以本月日敬啓賀筵敢請列貴於伊日不惜金
HVH_101_000005_000016	音煩移玉趾惠來一酌是幸當
HVH_101_000005_000017	皇號千年月日
HVH_101_000005_000018	總賞從九品百户副總阮厶筆
HVH_101_000005_000019	上
HVH_101_000005_000020	一厶
HVH_101_000005_000021	社貴列几前炳炤
HVH_101_000005_000022	里長賀請
HVH_101_000006_000001	敬啓者沗以不才幸蒙信愛每念百保而百怨鄉黨最驚
HVH_101_000006_000002	焉更思有社而有民户閑由斯者幸得冬夏二徴十田完
HVH_101_000006_000003	欵蠲以本月日敬設小筵肅請諸
HVH_101_000006_000004	貴列於伊日惠來
HVH_101_000006_000005	敝屋微酌是幸云云如前又
HVH_101_000006_000006	降透足十年賞銜九品蠲
HVH_101_000006_000007	入如蒙賞街兹恭遇國新議曠典特
HVH_101_000006_000008	賀副里請
HVH_101_000006_000009	敬啓者沗最不才幸蒙信愛責當些小雜役而更出於公
HVH_101_000006_000010	聀係叨卑發忉而先資於此兹幸得事皆妥濟蠲以本月
HVH_101_000006_000011	日敬設小筵肅請列貴於伊日惠來薄酌微暄是幸
HVH_101_000006_000012	當
HVH_101_000006_000013	皇號云云如前
HVH_101_000006_000014	詞翰
HVH_101_000006_000015	桃筵嫁請
HVH_101_000006_000016	肅請者共女及筓東床臥客豚兒見售鵲架就完旭日迨
HVH_101_000006_000017	今粧奮學古初遂有家之願聊備送門之儀日蠲吉也子
HVH_101_000006_000018	皆其子敢告于同列
HVH_101_000006_000019	列
HVH_101_000006_000020	小或貴辰
HVH_101_000006_000021	辱移玉趾榮揖芝眉庶得献爵
HVH_101_000006_000022	是幸餘不宜
HVH_101_000006_000023	桃筵婚請
HVH_101_000006_000024	敬請者健乏乾施天豊震索大子有分閨淑諧縁窃思父
HVH_101_000006_000025	母之常情将有室家之遂願辰恰好迨冰之旦謹将奠鴈
HVH_101_000006_000026	之儀攸関定祥敢無請誨千望是早辱惠蓮𨀈榮耀葑筵
HVH_101_000007_000001	是幸
HVH_101_000007_000002	嘱書契券以下
HVH_101_000007_000003	父母均分田産
HVH_101_000007_000004	山府縣總杜村阮妻氏厶爲書嘱事自念夫妻結髮
HVH_101_000007_000005	生下男干女干目今行庚哀幕及見長成女男婚所有
HVH_101_000007_000006	留來劬造家財田産除酌留養贍及備身後諸事外餘應
HVH_101_000007_000007	摘置香火另交嗣子管認並均許眾子每各一分各書如
HVH_101_000007_000008	庄
HVH_101_000007_000009	夕从
HVH_101_000007_000010	本分交各執一分按認巳分各勤生業歲序思先勿
HVH_101_000007_000011	起争端負老夫妻貽謀本意以自取不孝之罪有常
HVH_101_000007_000012	詞翰
HVH_101_000007_000013	法故合書以嘱
HVH_101_000007_000014	构改干字
HVH_101_000007_000015	刧内或有遺金
HVH_101_000007_000016	計
HVH_101_000007_000017	一置養贍分以下
HVH_101_000007_000018	一所千尺寸在処
HVH_101_000007_000019	一所型飮篙尺寸一
HVH_101_000007_000020	四近厶
HVH_101_000007_000021	在山地
HVH_101_000007_000022	四近山
HVH_101_000007_000023	一置香火以下
HVH_101_000007_000024	一所𧯄畝高尺寸在山処
HVH_101_000007_000025	一所型献高尺寸四近幺
HVH_101_000007_000026	在幺处
HVH_101_000007_000027	四近处
HVH_101_000007_000028	一嗣子分以下
HVH_101_000007_000029	一所𧯄畝高尺寸
HVH_101_000007_000030	四近山
HVH_101_000007_000031	在山処
HVH_101_000007_000032	一所陞献高尺寸
HVH_101_000007_000033	在厶处
HVH_101_000007_000034	四近人
HVH_101_000007_000035	一男子分以下
HVH_101_000008_000001	一所𧯄畝高尺寸
HVH_101_000008_000002	四近山
HVH_101_000008_000003	在山処
HVH_101_000008_000004	所型詔
HVH_101_000008_000005	土畝高尺寸
HVH_101_000008_000006	千
HVH_101_000008_000007	四山
HVH_101_000008_000008	一女子厶分以下
HVH_101_000008_000009	一所稽畝高尺寸立
HVH_101_000008_000010	四近
HVH_101_000008_000011	丁在厶处
HVH_101_000008_000012	所型畝高尺寸
HVH_101_000008_000013	丁在厶处
HVH_101_000008_000014	四近山
HVH_101_000008_000015	皇號年月日立書嘱
HVH_101_000008_000016	親父阮厶記
HVH_101_000008_000017	親母會氏點指
HVH_101_000008_000018	嗣子阮厶記
HVH_101_000008_000019	男子阮記
HVH_101_000008_000020	詞翰
HVH_101_000008_000021	九
HVH_101_000008_000022	女子阮氏弘點指
HVH_101_000008_000023	駕嘱書阮厶字記
HVH_101_000008_000024	視寔里長押篆
HVH_101_000008_000025	以下各本字契法寫府縣總社村皇號記
HVH_101_000008_000026	寫視寔倣此体式
HVH_101_000009_000001	親母分財
HVH_101_000009_000002	府縣總社村阮氏厶為刊許詞事縁前夫妻結髮生下
HVH_101_000009_000003	男千
HVH_101_000009_000004	力千
HVH_101_000009_000005	女千中
HVH_101_000009_000006	中間不幸夫君捐塵田産未及均分兹念行年
HVH_101_000009_000007	衰老旦夕靡常恐後或有爭端仍請㑹同圍族併将所有
HVH_101_000009_000008	田産各項量留養贍及備需身後諸事清欵餘摘置香火
HVH_101_000009_000009	並均許衆子每各一分寫立刋書千本分交各执一本炤
HVH_101_000009_000010	認勤劬生業以供忌臘旣經刋許倘有妄爭自坐不孝之
HVH_101_000009_000011	罪其田産每分千計後兹刊許詞
HVH_101_000009_000012	計云如前
HVH_101_000009_000013	詞翰
HVH_101_000009_000014	嚴父継母均産書
HVH_101_000009_000015	府縣總社村親父阮継室會氏厶為合書嘱事追念
HVH_101_000009_000016	先室琴瑟諧和遺下哀子男干女千嗣續継相克纘閨儀
HVH_101_000009_000017	生得子千女千届今行年哀暮女嫁男婚室家遂願現下
HVH_101_000009_000018	田產係是兩室相造相當所應刋許各有一分仍此㑹同
HVH_101_000009_000019	阖証知除酌量留老夫妻養贍及身後事宜各項千並
HVH_101_000009_000020	香火
HVH_101_000009_000021	交嗣子外存子寫立刊書千本交衆子各挽一本
HVH_101_000009_000022	炤分𬋩認勤業追先切勿妄爭自羅不孝之罪國有常法
HVH_101_000009_000023	一故書合嘱
HVH_101_000009_000024	各分計後
HVH_101_000010_000001	計如前
HVH_101_000010_000002	繼母均財書
HVH_101_000010_000003	厶
HVH_101_000010_000004	府縣總社村未亡人
HVH_101_000010_000005	居日
HVH_101_000010_000006	阮氏山自知弱質嗣相先
HVH_101_000010_000007	未亡人
HVH_101_000010_000008	君胞生男干女干合與先嫡遺下男女各干共干男干女
HVH_101_000010_000009	媚房撫孤異胞同愛莫敢或遑保有成業期稍慰先嫡之
HVH_101_000010_000010	潜灵并無負先君之遺命云耳目今衰老慟念靡常所有
HVH_101_000010_000011	留來並劬造田産應許衆子血汗同霑仍請關族合同見
HVH_101_000010_000012	知炤依先君臨終遺嘱量留養贍及備需身後諸事宜干
HVH_101_000010_000013	餘摘置香火並分許眾子各干仍立嘱書交男女各𢩾一
HVH_101_000010_000014	詞翰
HVH_101_000010_000015	道炤據嗣後宜各按分勤業歲序思先長引弗替勿謂老
HVH_101_000010_000016	姥懷私動生爭訟致負老姥居焦思且遺先人之羞也
HVH_101_000010_000017	是可每分若干計后國有常法故代嚴君訓者以為嘱
HVH_101_000010_000018	計如前
HVH_101_000010_000019	察之継母爲之主張分財一欵奉炤
HVH_101_000010_000020	國例有所不符仍何社民固有俗例
HVH_101_000010_000021	各妥順者想據此倣式亦是不妨
HVH_101_000010_000022	兄弟分財書
HVH_101_000010_000023	府縣總社村阮山阮山阮厶仝兄弟等為叶立刊書事
HVH_101_000010_000024	縁前者家遭不造双親早没兄弟姐妹一團孤哀相為依
HVH_101_000011_000001	倚今各長成及辰婚娶所有遺下田産干並新造田產干
HVH_101_000011_000002	應行分刊俾得均霑先親血汗仍請闔族尊長視誠調妥
HVH_101_000011_000003	摘置香火事清餘分每各一分其某分田土圖物各項干
HVH_101_000011_000004	具在刊書如左一樣繕寫記㸃各一道準據嗣宜按分
HVH_101_000011_000005	勤業傳子若孫追思無斁不失友于之義是可國有常法
HVH_101_000011_000006	故立刊書以爲拠者
HVH_101_000011_000007	計云云如前
HVH_101_000011_000008	立嗣書式
HVH_101_000011_000009	厶
HVH_101_000011_000010	府縣總社村山為嗣事縁所親生諸子不幸早沒目今
HVH_101_000011_000011	詞翰
HVH_101_000011_000012	本夫妻行年衰老承嗣乏人仍會同關族擇親弟之長子
HVH_101_000011_000013	厶或親兄之季子現有賢行炤例相當應立伊為嗣子
HVH_101_000011_000014	奉承本夫妻存没事宜若後失孝不睦何情斥廢母悔其現
HVH_101_000011_000015	下田產與諸女子一
HVH_101_000011_000016	不言及
HVH_101_000011_000017	丁或無女払
HVH_101_000011_000018	奴諸侄分許千另嘱干左兹立詞
HVH_101_000011_000019	又体
HVH_101_000011_000020	厶
HVH_101_000011_000021	府縣總社村山縁本夫妻親生男子年及長成旣經婚
HVH_101_000011_000022	娶未有子息不幸早沒
HVH_101_000011_000023	或自夫妻結髪以来
HVH_101_000011_000024	未有子息今日衰老
HVH_101_000011_000025	承嗣乏人仍會
HVH_101_000011_000026	同固族炤依倫序相當擇以親弟之長子幺或親兄之季
HVH_101_000011_000027	子幺為人稍属賢慈平日素所親愛權立為本身承嗣侯
HVH_101_000012_000001	伊男子長成以嗣隱子
HVH_101_000012_000002	或立伊爲本身承嗣
HVH_101_000012_000003	男子巳殁而未有子謂之隱
HVH_101_000012_000004	若
HVH_101_000012_000005	既經擇立之後如有事開不睦及本身幸哉
HVH_101_000012_000006	弋当擇立辰本
HVH_101_000012_000007	身未有子及
HVH_101_000012_000008	後有子
HVH_101_000012_000009	者拠此
HVH_101_000012_000010	有子另奉炤律辨理餘田産事宜各欵具嘱子左
HVH_101_000012_000011	用爲後拠茲立嗣詞
HVH_101_000012_000012	供田産圖身後式
HVH_101_000012_000013	山
HVH_101_000012_000014	府縣總杜村阮合妻等為供進詞事茲有私田土祖
HVH_101_000012_000015	父留來或造買千高尺寸坐落在本社
HVH_101_000012_000016	四至近厶人
HVH_101_000012_000017	或厶社厶所
HVH_101_000012_000018	依價洋銀干元
HVH_101_000012_000019	千貫
HVH_101_000012_000020	元千錢誠心進供本社佛寺
HVH_101_000012_000021	寸或進供本族
HVH_101_000012_000022	宗所
HVH_101_000012_000023	公物從立詞後并交原契
HVH_101_000012_000024	六或無有原契仰本社疵本管認
HVH_101_000012_000025	不必言及
HVH_101_000012_000026	詞翰入
HVH_101_000012_000027	耕徵永爲供奉之需係本身夫妻身没後𮞏年係至諱日
HVH_101_000012_000028	或歸金銀齋供永逺不絶這䦕身後事宜合詞願供爲炤
HVH_101_000012_000029	用者
HVH_101_000012_000030	断賣田土于他人契
HVH_101_000012_000031	厶
HVH_101_000012_000032	府縣總社村阮合妻等縁使用缺乏
HVH_101_000012_000033	或無有鐵所有
HVH_101_000012_000034	文生理
HVH_101_000012_000035	私田域私祖父留來或新造干畝高坐落在本社
HVH_101_000012_000036	士或云社
HVH_101_000012_000037	西南北
HVH_101_000012_000038	公處東
HVH_101_000012_000039	近人
HVH_101_000012_000040	四至依如契内兹将断賣𭁈本社人或山社阮台
HVH_101_000012_000041	合妻等依價銀千元
HVH_101_000012_000042	或烖
HVH_101_000012_000043	千貫銀
HVH_101_000012_000044	隨立契日交認足訖所断賣
HVH_101_000012_000045	之這田或委是阮
HVH_101_000012_000046	阮厶巳物者詐自用追原不渉買主從
HVH_101_000013_000001	立契後印财主管認耕微傳子若孫永為已物國有常法
HVH_101_000013_000002	故立文契為招用
HVH_101_000013_000003	或遗勾者
HVH_101_000013_000004	改千字
HVH_101_000013_000005	雇田供課式或典雇
HVH_101_000013_000006	或崔
HVH_101_000013_000007	A
HVH_101_000013_000008	府縣總社村阮绿為搜税期無由辨纳所有祖父
HVH_101_000013_000009	留來造私田成私土已敢高坐落在社處近
HVH_101_000013_000010	分秘田下
HVH_101_000013_000011	寺界依如契内今将契雇依價钱文千贯或干
HVH_101_000013_000012	其阮認這钱供纳税创财主一認這田域耕作
HVH_101_000013_000013	通年折毁钱千银干毁尽其钱田还本主
HVH_101_000013_000014	或限千年拍公
HVH_101_000013_000015	微莫敢生何杖節
HVH_101_000013_000016	增贖不得固机若過限者印
HVH_101_000013_000017	這雇田委是阮已物
HVH_101_000013_000018	詞翰
HVH_101_000013_000019	十四
HVH_101_000013_000020	莫敢瞄詐國有常法故立文契用者制公年
HVH_101_000013_000021	均轮
HVH_101_000013_000022	服还民
HVH_101_000013_000023	宿信三年季限
HVH_101_000013_000024	結契领债
HVH_101_000013_000025	消用兹托得么社人
HVH_101_000013_000026	苑家捐出銀千钱其阮领此根线票将回使用
HVH_101_000013_000027	自愿生息每月千限至年月旬来还本息足数
HVH_101_000013_000028	市價还粟栗
HVH_101_000013_000029	领债辰價还
HVH_101_000013_000030	若過限者甘受将息為本受國有常
HVH_101_000013_000031	追問
HVH_101_000013_000032	依及
HVH_101_000013_000033	或钱
HVH_101_000013_000034	法故立文字為绍用者
HVH_101_000013_000035	债土宅家屋
HVH_101_000014_000001	6
HVH_101_000014_000002	府總社村甲并要等缘使用缺乏所有祖父来
HVH_101_000014_000003	或天禾棍
HVH_101_000014_000004	宅
HVH_101_000014_000005	将典雇共社人乙價跟元或千其甲認取銀
HVH_101_000014_000006	或钱依效消用這田宅家财主招認耕居微纳
HVH_101_000014_000007	或
HVH_101_000014_000008	耕
HVH_101_000014_000009	每款干斗斗由千歲
HVH_101_000014_000010	居限年至年月日将依原钱來照不得固抗所
HVH_101_000014_000011	典雇之田土宅家屋委是名已物無有購诉何情國有
HVH_101_000014_000012	詞翰
HVH_101_000014_000013	十五
HVH_101_000014_000014	常法故立典詞為用者
HVH_101_000014_000015	負債替田
HVH_101_000014_000016	府總社村甲為替还詞事
HVH_101_000014_000017	不能來还所有私田坐落在社處
HVH_101_000014_000018	四至寺界依如
HVH_101_000014_000019	近
HVH_101_000014_000020	契内兹将断賣共伊财主债替还债数從立契後這私
HVH_101_000014_000021	田交财主管認耕微永為已物併交原契抗超国有常法
HVH_101_000014_000022	故立文契為绍用者
HVH_101_000014_000023	派來还情事清
HVH_101_000014_000024	甲為派编事緣前年乙
HVH_101_000014_000025	所有结契愿债於本家
HVH_101_000014_000026	親父
HVH_101_000014_000027	或栗
HVH_101_000014_000028	共本息兹已
HVH_101_000015_000001	还清但当事繁未及尋獲原契合编為憑俟後换得另交
HVH_101_000015_000002	兹编
HVH_101_000015_000003	譲賣公田
HVH_101_000015_000004	府縣總社邑者役兵戶全民為立契讓司事昭之本
HVH_101_000015_000005	邑本地分原有寔微公田域一所共千畝高尺寸坐落在
HVH_101_000015_000006	处四近现存鱼荒民丁稀火墾治未及
HVH_101_000015_000007	或民居向
HVH_101_000015_000008	不便破
HVH_101_000015_000009	來控受税创现下公课或公太累補辨無由间有捐借
HVH_101_000015_000010	社人家出限千元对但辰價每元钱干共贴干認
HVH_101_000015_000011	這钱将回全民充纳公课公舒民所急嗣而牢限未还
HVH_101_000015_000012	民情招据補放良难合此顺将這所公田或奖典
HVH_101_000015_000013	詞翰
HVH_101_000015_000014	十六
HVH_101_000015_000015	共伊财主扣还原债從立契俊從私田管業永不
HVH_101_000015_000016	得回贖年税钱干公耕自纳伸無遣地而免控纳這
HVH_101_000015_000017	荒聞田土財主竭力墾徵若後日何人見厚利生出何
HVH_101_000015_000018	情咱招契妥辨自甘厥答國有常法故立讓声詞為昭都
HVH_101_000015_000019	這詞應呈地方官批付為方可
HVH_101_000015_000020	債香田土家屋詞
HVH_101_000015_000021	府縣總社村并妻寺因為使用缺乏兹托得本社人
HVH_101_000015_000022	放债本银干元其领取回家消用自
HVH_101_000015_000023	顾生息每月元息千分因替抗或
HVH_101_000015_000024	家屋
HVH_101_000015_000025	壹所干高
HVH_101_000016_000001	年月旬来还本急足若遇限者甘受失其田
HVH_101_000016_000002	宝或
HVH_101_000016_000003	VIO3ONO
HVH_101_000016_000004	NAIAnL
HVH_101_000016_000005	依如断賣國有常法故立文字為用者
HVH_101_000016_000006	雇務公民田式
HVH_101_000016_000007	有银元支需本社人捐出银元交民社用兹
HVH_101_000016_000008	雇務公民町高尺寸在处财主管認耕供自年至
HVH_101_000016_000009	年尽其践田还民社不得固抗兹詞
HVH_101_000016_000010	賣花魚粟落詞
HVH_101_000016_000011	詞翰
HVH_101_000016_000012	十七
HVH_101_000016_000013	府縣總社者役社為立司事绿民社所有公消本社
HVH_101_000016_000014	人捐出銀千元交民用役仍顺将同田這利
HVH_101_000016_000015	或花鱼交
HVH_101_000016_000016	或果落
HVH_101_000016_000017	主管認係秋禾發穗咱其放水取魚收畢功咱其放
HVH_101_000016_000018	鸭鸭限自年至年限满毁尽其銀這利还本社不
HVH_101_000016_000019	得国抗兹詞
HVH_101_000016_000020	换易私田土
HVH_101_000016_000021	年總社甲為交換詞事原甲所有私田
HVH_101_000016_000022	或干亩高尺寸坐落在社处四至近两相遠阻不
HVH_101_000016_000023	便且招這两所
HVH_101_000016_000024	田或其相值不相勝遜仍此順規便
HVH_101_000016_000025	土
HVH_101_000017_000001	两家更换谷换詞二本同樣交記各抗一本价原契
HVH_101_000017_000002	各便管業毋為肥役言國有常法故立换詞為用者
HVH_101_000017_000003	兄弟倒换田土
HVH_101_000017_000004	府縣總杜伯仲季兄寺為倒換事頗父
HVH_101_000017_000005	母业有田三所每所三坐落在么处
HVH_101_000017_000006	四至
HVH_101_000017_000007	近
HVH_101_000017_000008	4
HVH_101_000017_000009	有土三所每
HVH_101_000017_000010	所三高坐落在处四经将嘱書均為三成兄第各一
HVH_101_000017_000011	就中原契间有全處同幅分裂良难或抗原契或抗抄契
HVH_101_000017_000012	頗係耕居不便兹順倒換兄第各認一処么認干畝高
HVH_101_000017_000013	尺寸坐落在处伸認高尺寸坐落在么处四
HVH_101_000017_000014	詞翰
HVH_101_000017_000015	十人
HVH_101_000017_000016	季認畝高尺寸坐落在处
HVH_101_000017_000017	四至
HVH_101_000017_000018	近么
HVH_101_000017_000019	務為规便不得以
HVH_101_000017_000020	肥瘠比言國有常法故立换詞為绍用者
HVH_101_000017_000021	沒下詞
HVH_101_000017_000022	府縣總社中叩呈或票為乞竹為事緣民所有造
HVH_101_000017_000023	買田土干節次耕纳田伴見知里長編收属寔其
HVH_101_000017_000024	日夜間失嗣而訪探瞩贖不見消息
HVH_101_000017_000025	或被火痰连烧或
HVH_101_000017_000026	潦坏倒最腐
HVH_101_000017_000027	窃恐事開苟不以事叫呈难保遗為此具单承将契券
HVH_101_000017_000028	各幅計白如左具詳里長視寔伏乞
HVH_101_000018_000001	堂官斗恤付許為伞民獲家餘惠萬顿今叩
HVH_101_000018_000002	呈或栗
