HVH_107_14_000001_000001	皇越律侧卷十四目録
HVH_107_14_000001_000002	刑律
HVH_107_14_000001_000003	17t8
HVH_107_14_000001_000004	人舍
HVH_107_14_000001_000005	HSRN
HVH_107_14_000001_000006	謀殺人
HVH_107_14_000001_000007	謀教制使及本骨長官
HVH_107_14_000001_000008	謀殺祖父毋父毋
HVH_107_14_000001_000009	殺死姦夫
HVH_107_14_000001_000010	謀殺故夫父毋
HVH_107_14_000001_000011	教一家三人
HVH_107_14_000001_000012	採生折割人
HVH_107_14_000001_000013	造畜蠱毒殺人
HVH_107_14_000001_000014	闘殿及故教人
HVH_107_14_000001_000015	屏去人服食
HVH_107_14_000001_000016	戲殺誤殺過失殺傷人夫死有罪妻妾
HVH_107_14_000001_000017	殺子孫及奴婢圖頼人弓箭傷人
HVH_107_14_000001_000018	車馬殺傷人
HVH_107_14_000001_000019	庸醫殺傷人
HVH_107_14_000001_000020	皇律创
HVH_107_14_000001_000021	卷十四刑律
HVH_107_14_000001_000022	目缘
HVH_107_14_000001_000023	窩弓殺傷人
HVH_107_14_000001_000024	威逼人致死
HVH_107_14_000001_000025	尊長爲人殺私和
HVH_107_14_000001_000026	同行知有害
HVH_107_14_000001_000027	日修
HVH_107_14_000002_000001	皇越律侧卷之十四
HVH_107_14_000002_000002	刑律
HVH_107_14_000002_000003	人命
HVH_107_14_000002_000004	請殺人
HVH_107_14_000002_000005	謀
HVH_107_14_000002_000006	或諸心
HVH_107_14_000002_000007	或謀諸人
HVH_107_14_000002_000008	人造意者而加
HVH_107_14_000002_000009	功者较不加功者杖一百流三千里
HVH_107_14_000002_000010	数訖乃坐
HVH_107_14_000002_000011	若未曾說避死
HVH_107_14_000002_000012	止依同諜共殿人科岗
HVH_107_14_000002_000013	若傷而不死造意者從而加功者
HVH_107_14_000002_000014	杖一百流三千里不加功者杖一百徒
HVH_107_14_000002_000015	三年若謀而已行未曾傷人者
HVH_107_14_000002_000016	高意
HVH_107_14_000002_000017	者一百徒三年從者
HVH_107_14_000002_000018	月行
HVH_107_14_000002_000019	月
HVH_107_14_000002_000020	各杖一
HVH_107_14_000002_000021	皇越律例
HVH_107_14_000002_000022	卷十四两律
HVH_107_14_000002_000023	人
HVH_107_14_000002_000024	如甲與人有仇
HVH_107_14_000002_000025	欲之相干
HVH_107_14_000002_000026	百但同謀者
HVH_107_14_000002_000027	同行
HVH_107_14_000002_000028	雖不
HVH_107_14_000002_000029	L贵謀殺文策
HVH_107_14_000002_000030	已殺已傷
HVH_107_14_000002_000031	北谋鲜出千乙面意
HVH_107_14_000002_000032	爲造意...
HVH_107_14_000002_000033	實本于甲富仍以
HVH_107_14_000002_000034	同强盗不分首從論音
HVH_107_14_000002_000035	行减行
HVH_107_14_000002_000036	加功
HVH_107_14_000002_000037	而不
HVH_107_14_000002_000038	者一等。若因而得财者
HVH_107_14_000002_000039	行而不分账
HVH_107_14_000002_000040	及不行及不
HVH_107_14_000002_000041	分雕香行
HVH_107_14_000002_000042	謀者計也先設殺人之请後行教人
HVH_107_14_000002_000043	教亦多端如有仇知贪圆争牵
HVH_107_14_000002_000044	。:
HVH_107_14_000002_000045	消思教害其人或自已算計
HVH_107_14_000002_000046	湖
HVH_107_14_000002_000047	而獨謀者心或與人商量而共謀
HVH_107_14_000002_000048	人以社言之出干！
HVH_107_14_000002_000049	殺人新罪所
HVH_107_14_000002_000050	人同二
HVH_107_14_000002_000051	人之法
HVH_107_14_000003_000001	手之
HVH_107_14_000003_000002	人
HVH_107_14_000003_000003	從海临
HVH_107_14_000003_000004	使
HVH_107_14_000003_000005	造意
HVH_107_14_000003_000006	者
HVH_107_14_000003_000007	也加功
HVH_107_14_000003_000008	者
HVH_107_14_000003_000009	所以重同也造意不
HVH_107_14_000003_000010	必親发玖
HVH_107_14_000003_000011	三加法
HVH_107_14_000003_000012	功者猶有缩之心止杖
HVH_107_14_000003_000013	成
HVH_107_14_000003_000014	自有下師伤而
HVH_107_14_000003_000015	法
HVH_107_14_000003_000016	也若等教人
HVH_107_14_000003_000017	尚
HVH_107_14_000003_000018	死造意者教未
HVH_107_14_000003_000019	不其加
HVH_107_14_000003_000020	加功者汉减
HVH_107_14_000003_000021	投
HVH_107_14_000003_000022	手杖一
HVH_107_14_000003_000023	面
HVH_107_14_000003_000024	人邯得
HVH_107_14_000003_000025	已人也
HVH_107_14_000003_000026	死
HVH_107_14_000003_000027	菲
HVH_107_14_000003_000028	同
HVH_107_14_000003_000029	0年行以而以
HVH_107_14_000003_000030	其實人之
HVH_107_14_000003_000031	面傷人
HVH_107_14_000003_000032	农
HVH_107_14_000003_000033	百元三
HVH_107_14_000003_000034	里
HVH_107_14_000003_000035	救而得免或知风引避或瞬时
HVH_107_14_000003_000036	是难木及傷人精
HVH_107_14_000003_000037	总其
HVH_107_14_000003_000038	信
HVH_107_14_000003_000039	2
HVH_107_14_000003_000040	已杖
HVH_107_14_000003_000041	行
HVH_107_14_000003_000042	功
HVH_107_14_000003_000043	百不忧
HVH_107_14_000003_000044	皇越律创
HVH_107_14_000003_000045	卷十四满
HVH_107_14_000003_000046	请税人
HVH_107_14_000003_000047	不全贷以上
HVH_107_14_000003_000048	者徒盖役人之皆其指授不
HVH_107_14_000003_000049	而不行者则戒
HVH_107_14_000003_000050	行而克之也于
HVH_107_14_000003_000051	静
HVH_107_14_000003_000052	同諜爲從之人
HVH_107_14_000003_000053	行而不加功者
HVH_107_14_000003_000054	而
HVH_107_14_000003_000055	B
HVH_107_14_000003_000056	行
HVH_107_14_000003_000057	7
HVH_107_14_000003_000058	罪
HVH_107_14_000003_000059	y
HVH_107_14_000003_000060	一但不傷行。
HVH_107_14_000003_000061	人
HVH_107_14_000003_000062	雕
HVH_107_14_000003_000063	不
HVH_107_14_000003_000064	發
HVH_107_14_000003_000065	未
HVH_107_14_000003_000066	袋
HVH_107_14_000003_000067	若因裁而得所人之
HVH_107_14_000003_000068	屏
HVH_107_14_000003_000069	意王于人则
HVH_107_14_000003_000070	百
HVH_107_14_000003_000071	告
HVH_107_14_000003_000072	稍
HVH_107_14_000003_000073	分必明
HVH_107_14_000003_000074	浙
HVH_107_14_000003_000075	本
HVH_107_14_000003_000076	律脏分謀然之不仇也悔既杖
HVH_107_14_000003_000077	以
HVH_107_14_000003_000078	科真
HVH_107_14_000003_000079	不
HVH_107_14_000003_000080	在
HVH_107_14_000003_000081	得财视共謀為盗可推关
HVH_107_14_000003_000082	报
HVH_107_14_000003_000083	故
HVH_107_14_000003_000084	段
HVH_107_14_000003_000085	编
HVH_107_14_000003_000086	云不言
HVH_107_14_000003_000087	仍
HVH_107_14_000003_000088	2
HVH_107_14_000003_000089	明
HVH_107_14_000004_000001	收照校
HVH_107_14_000004_000002	或不行者何以料
HVH_107_14_000004_000003	之仍照本律已
HVH_107_14_000004_000004	教傷之罪則太重且與以故教論
HVH_107_14_000004_000005	之法不符如所謀救者甲也下
HVH_107_14_000004_000006	有下手者抵而造意同耕所役
HVH_107_14_000004_000007	之人原未受傷则應止照已行而未
HVH_107_14_000004_000008	被害之人味而财之心
HVH_107_14_000004_000009	则同强盗論不得财则们载探发之
HVH_107_14_000004_000010	法所见良是儿因圖财而謀彼者可
HVH_107_14_000004_000011	皇越律例卷十
HVH_107_14_000004_000012	三
HVH_107_14_000004_000013	人
