HVH_107_11_000001_000001	皇越律例卷十一日錄
HVH_107_11_000001_000002	兵律
HVH_107_11_000001_000003	88
HVH_107_11_000001_000004	周津
HVH_107_11_000001_000005	BRM
HVH_107_11_000001_000006	私越月度阔半
HVH_107_11_000001_000007	詐月給路引
HVH_107_11_000001_000008	周津留難
HVH_107_11_000001_000009	盤喆
HVH_107_11_000001_000010	私出外境及建禁下海
HVH_107_11_000001_000011	鹿牧
HVH_107_11_000001_000012	官馬不調習
HVH_107_11_000001_000013	幸馬牛
HVH_107_11_000001_000014	畜産跤場人
HVH_107_11_000001_000015	隐调享生官畜産
HVH_107_11_000001_000016	私借官畜库
HVH_107_11_000001_000017	郵
HVH_107_11_000001_000018	皇越律侧
HVH_107_11_000001_000019	卷十一兵律
HVH_107_11_000001_000020	目
HVH_107_11_000001_000021	遮送公文
HVH_107_11_000001_000022	邀取實封公文
HVH_107_11_000001_000023	舖舍損
HVH_107_11_000001_000024	私役铺兵
HVH_107_11_000001_000025	多支廪給
HVH_107_11_000001_000026	文書應給釋而不給
HVH_107_11_000001_000027	公享應行程
HVH_107_11_000001_000028	占宿驿舍上房
HVH_107_11_000001_000029	私役民夫轎
HVH_107_11_000001_000030	病故官家属回鄉
HVH_107_11_000001_000031	承轉崔寄人
HVH_107_11_000001_000032	乘官畜産車船附移物
HVH_107_11_000001_000033	目铁
HVH_107_11_000002_000001	皇越律侧卷之十一
HVH_107_11_000002_000002	兵律
HVH_107_11_000002_000003	津
HVH_107_11_000002_000004	私越月度津
HVH_107_11_000002_000005	九無文引
HVH_107_11_000002_000006	此越度国者
HVH_107_11_000002_000007	鸽他事而肖弄先
HVH_107_11_000002_000008	十若關不由門津不由渡
HVH_107_11_000002_000009	别後
HVH_107_11_000002_000010	周建
HVH_107_11_000002_000011	而越度
HVH_107_11_000002_000012	有交通外境意也
HVH_107_11_000002_000013	面岗处境者謂
HVH_107_11_000002_000014	者杖九十若越度緑關塞者杖一百
HVH_107_11_000002_000015	越塞不敢復回
HVH_107_11_000002_000016	而出非本意欲
HVH_107_11_000002_000017	守把
HVH_107_11_000002_000018	外境也若先宾外境
HVH_107_11_000002_000019	交通有心按向则是
HVH_107_11_000002_000020	之人知而故縱者同罪失於
HVH_107_11_000002_000021	等
HVH_107_11_000002_000022	洋有四雨所
HVH_107_11_000002_000023	字
HVH_107_11_000002_000024	者各减三等罪止杖一百軍兵又
HVH_107_11_000002_000025	减一等並罪坐直日者。若有文引
HVH_107_11_000002_000026	皇越律例卷十一共律津
HVH_107_11_000002_000027	承藏月发同单
HVH_107_11_000002_000028	坐家長守把之人知情與同罪不知者
HVH_107_11_000002_000029	不坐其将
HVH_107_11_000002_000030	馬牛私度月度阔津者杖
HVH_107_11_000002_000031	六十越度杖七十
HVH_107_11_000002_000032	私度人有馬件
HVH_107_11_000002_000033	月度馬牛月
HVH_107_11_000002_000034	他人引上马牛毛色陶越度謂
HVH_107_11_000002_000035	人由阴津马牛不由尚津面度
HVH_107_11_000002_000036	周津之所以防好定制单民遠行
HVH_107_11_000002_000037	必先请始文所为儿船文引而于
HVH_107_11_000002_000038	官岸变有人守把之處乘其不党
HVH_107_11_000002_000039	窃为者謂之私度八十四
HVH_107_11_000002_000040	引恐破结不由阴津不由度
HVH_107_11_000002_000041	别道而潜過者謂之越度救九
HVH_107_11_000002_000042	之地者杖一百徒三年因越度而即
HVH_107_11_000002_000043	潜外境者教其守祀周周塞之
HVH_107_11_000002_000044	人知其私度度而故模不举者典
HVH_107_11_000002_000045	把人同杖八十九十一百三年七
HVH_107_11_000002_000046	罪失于詰而不觉者守把也人
HVH_107_11_000003_000001	官各戒犯人罪三等不党私度答五
HVH_107_11_000003_000002	十藏度放大十麦罪止放一
HVH_107_11_000003_000003	百瓶死又减不觉教度答四十
HVH_107_11_000003_000004	越度五十度秦止放九十
HVH_107_11_000003_000005	並罪坐直旧之人不及也口若将
HVH_107_11_000003_000006	他人文引而頂姓名通津者
HVH_107_11_000003_000007	出你多知
HVH_107_11_000003_000008	有引例無引地故亦八十一家之
HVH_107_11_000003_000009	请个言受财犯者农
HVH_107_11_000003_000010	杠法
HVH_107_11_000003_000011	十之罪不知者不坐。其無别之
HVH_107_11_000003_000012	牛秋度及雨他人有马午之交列面
HVH_107_11_000003_000013	1
HVH_107_11_000003_000014	者放七十此幸言月度馬之
HVH_107_11_000003_000015	罪其人则皆有引者也马牛必随人
HVH_107_11_000003_000016	而若人無引数月越度者则
HVH_107_11_000003_000017	從重科罪不必論馬件矣
HVH_107_11_000003_000018	出關之人若文票或人票不符守
HVH_107_11_000003_000019	口官不行查拿降一报调用如有用
HVH_107_11_000003_000020	邯文票該管官不即验放勤指進延
HVH_107_11_000003_000021	者降二教的用若夾带禁货守
HVH_107_11_000003_000022	皇律
HVH_107_11_000003_000023	一卷一
HVH_107_11_000003_000024	共律嗣车
HVH_107_11_000003_000025	二
HVH_107_11_000003_000026	藏有度厨年
HVH_107_11_000003_000027	口官徇合其出口者按其所带之
HVH_107_11_000003_000028	物分别治罪其有失察越度遥者
HVH_107_11_000003_000029	罰拳
HVH_107_11_000003_000030	一年
HVH_107_11_000003_000031	條例
HVH_107_11_000003_000032	一九土官土人知有遣公務應赴外鎮
HVH_107_11_000003_000033	者呈明本管官轉報镇营宫给知
HVH_107_11_000003_000034	會所往分营官令事勤限無許
HVH_107_11_000003_000035	逗遇仍知照本镇镇營官倘不请牌
HVH_107_11_000003_000036	私出外镇土官革職土人照無引私度
HVH_107_11_000003_000037	關津律杖八十通回如潜往外镇生事
HVH_107_11_000003_000038	為匪别經發覺除實犯死并外徒罪以
HVH_107_11_000003_000039	上俱照軍人私出外境携掠不分首
